stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
999999,12839,1948,02,03,63.3,24,57.4,24,1020.9,24,1020.5,24,9.2,24,6.6,24,12.0,999.9,71.1,*,55.9,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,02,04,67.9,24,60.0,24,1020.6,24,1020.3,24,8.8,24,6.6,24,15.9,999.9,79.0,*,60.1,*,99.99,,999.9,0,1,0,0,0,0
999999,12839,1948,02,05,67.2,24,59.4,24,1020.4,24,1020.0,24,8.8,24,4.9,24,11.1,999.9,79.0,*,57.0,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,02,06,68.8,24,60.2,24,1019.7,24,1019.3,24,7.9,24,3.7,24,8.9,999.9,82.0,*,59.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,07,70.3,24,63.7,24,1019.2,24,1018.8,24,8.6,24,5.8,24,15.9,999.9,79.0,*,61.0,*,0.0,I,999.9,1,0,0,0,0,0
999999,12839,1948,02,08,72.3,24,65.0,24,1018.2,24,1017.9,24,9.9,24,8.3,24,18.1,999.9,82.0,*,64.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,09,74.7,24,67.9,24,1017.2,24,1016.8,24,9.9,24,9.0,24,19.0,999.9,84.0,*,64.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,10,72.6,24,67.5,24,1019.9,24,1019.5,24,9.9,24,6.3,24,10.1,999.9,77.0,*,70.0,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,11,73.9,24,66.6,24,1024.8,24,1024.4,24,9.9,24,9.9,24,17.1,999.9,80.1,*,66.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,12,76.7,24,67.4,24,1023.3,24,1023.0,24,10.8,24,12.7,24,22.9,999.9,82.0,*,73.9,*,0.0,I,999.9,0,0,0,0,0,0
999999,12839,1948,02,13,76.8,24,67.8,24,1019.7,24,1019.4,24,10.4,24,12.7,24,19.0,999.9,82.9,*,73.0,*,0.0,I,999.9,0,0,0,0,0,0
